
Image Name                     PID Session Name        Session#    Mem Usage
cmd.exe                       8460 Console                    2         32 K
conhost.exe                   3412 Console                    2        244 K
LSB.exe                        612 Console                    2      2,468 K
chrome.exe                    8004 Console                    2      9,680 K
chrome.exe                    9248 Console                    2      8,412 K
chrome.exe                   11660 Console                    2      4,068 K
svchost.exe                   9888 Services                   0      5,152 K
NisSrv.exe                    2580 Services                   0      6,668 K
OneDrive.Sync.Service.exe     5444 Console                    2    117,744 K
Code.exe                     10976 Console                    2     61,712 K
Code.exe                      4660 Console                    2     13,708 K
Code.exe                     11176 Console                    2    118,464 K
Code.exe                      9124 Console                    2     15,252 K
Code.exe                      6760 Console                    2    238,732 K
Code.exe                      5076 Console                    2     15,116 K
Code.exe                     11988 Console                    2     40,240 K
Code.exe                      3388 Console                    2     59,012 K
Code.exe                      6680 Console                    2     17,724 K
Code.exe                      9664 Console                    2    268,984 K
Code.exe                     10936 Console                    2    198,720 K
OpenConsole.exe               2500 Console                    2      8,028 K
pwsh.exe                     11672 Console                    2     25,872 K
Code.exe                      6280 Console                    2     13,888 K
Code.exe                      5824 Console                    2     12,752 K
Code.exe                      8488 Console                    2     13,284 K
Code.exe                      5428 Console                    2     10,540 K
Code.exe                      5648 Console                    2      6,396 K
Code.exe                     10060 Console                    2     13,872 K
taskhostw.exe                 5308 Console                    2      4,664 K
svchost.exe                   6516 Services                   0     11,388 K
svchost.exe                   2340 Services                   0     15,004 K
svchost.exe                  10256 Services                   0     16,072 K
pwsh.exe                     12848 Console                    2     24,572 K
conhost.exe                   5856 Console                    2     10,668 K
backgroundTaskHost.exe        6236 Console                    2     25,480 K
RuntimeBroker.exe            10336 Console                    2     27,964 K
msedge.exe                   13616 Console                    2     39,128 K
msedge.exe                   13976 Console                    2     12,624 K
msedge.exe                   13320 Console                    2      6,844 K
msedge.exe                    8044 Console                    2      4,556 K
msedge.exe                   10224 Console                    2      9,744 K
svchost.exe                   4948 Services                   0      5,600 K
taskhostw.exe                 5040 Console                    2      7,064 K
SearchApp.exe                 1612 Console                    2    135,676 K
svchost.exe                   2116 Console                    2     10,716 K
svchost.exe                   7108 Services                   0      9,400 K
backgroundTaskHost.exe        3252 Console                    2     39,068 K
RuntimeBroker.exe              628 Console                    2      7,196 K
cmd.exe                      11324 Console                    2      5,580 K
conhost.exe                   1460 Console                    2     13,020 K
node.exe                      4032 Console                    2     45,772 K
cmd.exe                       3612 Console                    2      5,452 K
node.exe                     12464 Console                    2     93,548 K
MicrosoftEdgeUpdate.exe       1264 Services                   0     14,972 K
node.exe                      2672 Console                    2    269,036 K
RuntimeBroker.exe            11924 Console                    2     19,756 K
svchost.exe                   9960 Services                   0      7,564 K
backgroundTaskHost.exe        8120 Console                    2     15,020 K
WmiPrvSE.exe                  9260 Services                   0     10,612 K
OpenConsole.exe              11596 Console                    2      9,592 K
pwsh.exe                      9536 Console                    2     99,936 K
cmd.exe                       1152 Console                    2      4,928 K
dllhost.exe                  13112 Console                    2      7,496 K
tasklist.exe                 10972 Console                    2      9,928 K
